,action,block_time,cost_basis,estimated_profit,ranking,token,traded_token,volume,wallet_address
62,sell,2021-07-03 20:04:19.000 UTC,,,63,CORN,Krill,,"<a href=https://polygonscan.com//address/0x3db0f737dd263d511187df960d60682a4a6adae3 target=_blank"">0x3db0f737dd263d511187df960d60682a4a6adae3</a>"
63,buy,2021-07-04 06:01:08.000 UTC,,,64,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
64,buy,2021-06-09 00:27:48.000 UTC,43.10997530055165,,65,CORN,WMATIC,21.554987650275827,"<a href=https://polygonscan.com//address/0x407900a16df05b1592e77f40ea87410baecdd8fe target=_blank"">0x407900a16df05b1592e77f40ea87410baecdd8fe</a>"
65,buy,2021-07-04 18:29:43.000 UTC,41.616008993187705,,66,CORN,WMATIC,0.021109543734405677,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
66,buy,2021-06-16 07:20:04.000 UTC,,,67,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
67,buy,2021-07-03 20:52:21.000 UTC,40.54048502644269,,68,CORN,WMATIC,0.0113,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
68,buy,2021-07-04 16:51:03.000 UTC,,,69,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
69,buy,2023-04-14 12:32:40.000 UTC,8.790009480790653,,70,CORN,WMATIC,43.95004740395326,"<a href=https://polygonscan.com//address/0xdef171fe48cf0115b1d80b88dc8eab59176fee57 target=_blank"">0xdef171fe48cf0115b1d80b88dc8eab59176fee57</a>"
70,buy,2021-07-27 05:34:35.000 UTC,37.548744054472614,,71,CORN,WMATIC,0.012043354213819038,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
71,buy,2021-05-17 12:09:03.000 UTC,40.946067526150564,,72,CORN,WMATIC,38.9562132,"<a href=https://polygonscan.com//address/0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1 target=_blank"">0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1</a>"
72,buy,2021-07-04 18:02:33.000 UTC,,,73,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
73,sell,2021-07-05 12:17:20.000 UTC,39.55886135036258,,74,CORN,WMATIC,0.017387353156722497,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
74,sell,2021-08-13 10:25:38.000 UTC,22.142331281512856,,75,CORN,WMATIC,0.010952458993237905,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
75,buy,2021-05-18 22:36:03.000 UTC,20.268229338193553,,76,CORN,LINK,0.02158,"<a href=https://polygonscan.com//address/0xeea5c309a371d6351acfc8d7a969b114250999bb target=_blank"">0xeea5c309a371d6351acfc8d7a969b114250999bb</a>"
76,sell,2021-10-08 13:27:25.000 UTC,15.132153486416632,,77,CORN,WMATIC,30.264306972833264,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
77,sell,2021-07-31 17:20:36.000 UTC,32.60699057455802,,78,CORN,WMATIC,0.010824749486335978,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
78,sell,2021-05-19 23:56:31.000 UTC,51.40346227482821,,79,CORN,WMATIC,51.40346227482821,"<a href=https://polygonscan.com//address/0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827 target=_blank"">0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827</a>"
79,sell,2021-07-21 21:59:24.000 UTC,32.57670523777308,,80,CORN,WMATIC,0.00900873975613766,"<a href=https://polygonscan.com//address/0x84148b420f828da7236448306ecac42344fc48c7 target=_blank"">0x84148b420f828da7236448306ecac42344fc48c7</a>"
80,sell,2021-07-04 05:00:53.000 UTC,39.95030939696832,,81,CORN,WMATIC,0.025004625225327377,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
81,sell,2021-10-28 13:42:30.000 UTC,19.07442552736116,,82,CORN,WMATIC,40.84139696216462,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
82,sell,2023-02-06 01:46:15.000 UTC,7.5632335602967835,,83,CORN,WMATIC,9.696470736047681,"<a href=https://polygonscan.com//address/0x019ba0325f1988213d448b3472fa1cf8d07618d7 target=_blank"">0x019ba0325f1988213d448b3472fa1cf8d07618d7</a>"
83,sell,2021-07-04 04:59:37.000 UTC,39.952012124461895,,84,CORN,WMATIC,0.02955688089205853,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
